lat,lon,dist_to_canal_m
13.515152,100.457576,315.1715219007826
13.515152,100.463636,273.7667413807835
13.515152,100.469697,72.42502897811012
13.515152,100.475758,261.70868296686336
13.515152,100.481818,236.17045191899146
13.515152,100.487879,444.49040583725815
13.515152,100.493939,695.6131347181328
13.515152,100.5,73.6407000128695
13.515152,100.506061,541.8913188507395
13.515152,100.512121,140.91790034910122
13.515152,100.518182,207.0278350172557
13.515152,100.524242,637.4719053213738
13.515152,100.530303,593.1998309794815
13.515152,100.536364,466.66742715334533
13.515152,100.542424,522.1593364598968
13.515152,100.548485,1076.3216267766304
13.515152,100.554545,1237.1268917217683
13.515152,100.560606,1352.194886426134
13.515152,100.566667,1589.239060606558
13.515152,100.572727,1461.2138049513687
13.515152,100.578788,1555.162754242231
13.515152,100.584848,1900.5559983048745
13.515152,100.590909,2378.0603790551763
13.515152,100.59697,2838.609800348083
13.515152,100.60303,2786.8989584310257
13.515152,100.609091,2609.4557004638577
13.515152,100.615152,2600.4193647294383
13.515152,100.621212,2208.1057553376154
13.515152,100.627273,1808.2622883478862
13.515152,100.633333,1413.2012700650566
13.515152,100.639394,1131.879612325823
13.515152,100.645455,979.7479802607397
13.515152,100.651515,838.5170216317796
13.515152,100.657576,695.4017125922362
13.515152,100.663636,543.2179998755498
13.515152,100.669697,400.1031763137171
13.515152,100.675758,247.18254766733335
13.515152,100.681818,93.43410956907914
13.515152,100.687879,51.38170651390322
13.515152,100.693939,186.68627030650484
13.515152,100.7,363.74350617698553
13.515152,100.706061,96.8158692626955
13.515152,100.712121,333.00436520489734
13.515152,100.718182,272.24960341108044
13.515152,100.724242,383.8735341769529
13.515152,100.730303,113.92108299827659
13.515152,100.736364,120.9183732742962
