lat,lon,elevation_m
13.525253,100.566667,1.0
13.525253,100.572727,5.0
13.525253,100.578788,5.0
13.525253,100.584848,5.0
13.525253,100.590909,5.0
13.525253,100.59697,5.0
13.525253,100.60303,5.0
13.525253,100.609091,5.0
13.525253,100.615152,5.0
13.525253,100.621212,5.0
13.525253,100.627273,3.0
13.525253,100.633333,12.0
13.525253,100.639394,7.0
13.525253,100.645455,2.0
13.525253,100.651515,4.0
13.525253,100.657576,2.0
13.525253,100.663636,4.0
13.525253,100.669697,7.0
13.525253,100.675758,1.0
13.525253,100.681818,4.0
13.525253,100.687879,4.0
13.525253,100.693939,1.0
13.525253,100.7,-1.0
13.525253,100.706061,2.0
13.525253,100.712121,2.0
13.525253,100.718182,5.0
13.525253,100.724242,1.0
13.525253,100.730303,4.0
13.525253,100.736364,1.0
13.525253,100.742424,2.0
13.525253,100.748485,3.0
13.525253,100.754545,2.0
13.525253,100.760606,3.0
13.525253,100.766667,5.0
13.525253,100.772727,3.0
13.525253,100.778788,2.0
13.525253,100.784848,3.0
13.525253,100.790909,3.0
13.525253,100.79697,2.0
13.525253,100.80303,2.0
13.525253,100.809091,2.0
13.525253,100.815152,4.0
13.525253,100.821212,2.0
13.525253,100.827273,1.0
13.525253,100.833333,5.0
13.525253,100.839394,2.0
13.525253,100.845455,3.0
13.525253,100.851515,3.0
13.525253,100.857576,4.0
13.525253,100.863636,5.0
13.525253,100.869697,4.0
13.525253,100.875758,5.0
13.525253,100.881818,5.0
13.525253,100.887879,3.0
13.525253,100.893939,3.0
13.525253,100.9,-1.0
13.530303,100.3,6.0
13.530303,100.306061,4.0
13.530303,100.312121,4.0
13.530303,100.318182,4.0
13.530303,100.324242,5.0
13.530303,100.330303,5.0
13.530303,100.336364,5.0
13.530303,100.342424,5.0
13.530303,100.348485,5.0
13.530303,100.354545,5.0
13.530303,100.360606,5.0
13.530303,100.366667,5.0
13.530303,100.372727,5.0
13.530303,100.378788,1.0
13.530303,100.384848,1.0
13.530303,100.390909,5.0
13.530303,100.39697,5.0
13.530303,100.40303,-1.0
13.530303,100.409091,-1.0
13.530303,100.415152,1.0
13.530303,100.421212,5.0
13.530303,100.427273,6.0
13.530303,100.433333,5.0
13.530303,100.439394,5.0
